epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6127.39,1.07584,1.07729,1.47291,0.78469,0.69382,0.72533,0.50386,1.24657,1.07125,1.66581,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,7610.86,1.06593,1.06462,1.46289,0.74871,0.69867,0.72684,0.50411,1.24832,1.04854,1.65932,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,8920.7,1.07365,1.05602,1.46424,0.78366,0.69659,0.73244,0.50312,1.24747,1.04975,1.65473,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,10412.4,1.06353,1.04567,1.46365,0.76757,0.70846,0.73323,0.50601,1.24941,1.0516,1.66007,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,11801.2,1.05865,1.0363,1.45361,0.76632,0.70345,0.73005,0.50735,1.24776,1.05267,1.6535,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,13277.4,1.05579,1.02412,1.44958,0.75605,0.70882,0.7314,0.50798,1.24032,1.04485,1.64388,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,14722.1,1.0526,1.01271,1.44784,0.78116,0.70775,0.7305,0.50947,1.24238,1.05124,1.6506,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,16083.6,1.04871,1.00243,1.44261,0.79188,0.70241,0.73066,0.51051,1.24675,1.0507,1.65551,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,17577.3,1.04078,1.00405,1.44499,0.76068,0.70177,0.73082,0.50995,1.24455,1.052,1.65687,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,19019.8,1.11898,1.00269,1.58799,0.78018,0.70572,0.73377,0.5135,1.23651,1.0489,1.65007,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,20498.1,1.10584,0.98006,1.57509,0.74522,0.71132,0.73663,0.51424,1.23062,1.04077,1.64662,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,22010.3,1.1056,0.95369,1.56842,0.76498,0.70751,0.73616,0.5143,1.22814,1.04001,1.64563,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,23398.3,1.09289,0.9483,1.5639,0.74811,0.71577,0.73561,0.51317,1.23076,1.04543,1.65039,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,24703.1,1.08332,0.93597,1.55375,0.75406,0.72003,0.73622,0.51343,1.23198,1.04465,1.65283,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,26100.4,1.08668,0.92219,1.55413,0.75612,0.71602,0.73553,0.51395,1.23403,1.04015,1.65626,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,27525.5,1.07548,0.90516,1.54514,0.7549,0.71456,0.73509,0.51475,1.23323,1.03584,1.6554,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,28959.4,1.06295,0.89141,1.53559,0.76997,0.71151,0.73485,0.51557,1.23313,1.03922,1.65504,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,30446.6,1.0656,0.88944,1.53288,0.77011,0.71312,0.73583,0.51569,1.23338,1.03878,1.65284,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,31868.1,1.05336,0.87572,1.52852,0.77374,0.7107,0.73488,0.51493,1.23485,1.04069,1.65508,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
